month,day,year,hour,min,sec,BlowerDoor,Outside,DuctBlaster,Outside1,Outside2,OutsideAvg,EGM
04,12,13,07,59,20.836,4.5889,-11.9193,0.4530,-11.7609,0.0097,0.0099,462.9049
04,12,13,07,59,22.836,4.8105,-11.8897,0.4826,-11.7986,0.0425,0.0054,462.6092
04,12,13,07,59,24.836,4.6787,-11.7203,0.4727,-11.5815,0.0000,0.0099,462.6719
04,12,13,07,59,26.836,4.6916,-11.6211,0.4870,-11.4927,0.0389,-0.0198,462.9049
04,12,13,07,59,28.836,4.6181,-11.5404,0.4727,-11.4919,0.0000,-0.0099,462.8063
04,12,13,07,59,30.836,4.7078,-11.8356,0.4432,-11.8282,-0.0106,-0.0036,462.7078
04,12,13,07,59,32.836,4.8892,-11.8278,0.4826,-11.6900,0.0097,-0.0099,462.6719
04,12,13,07,59,34.836,4.7510,-11.8487,0.4960,-11.8084,0.0000,0.0000,462.7078
04,12,13,07,59,36.836,4.6655,-11.9407,0.4530,-11.7788,0.0292,0.0000,462.9049
04,12,13,07,59,38.836,4.5457,-11.6656,0.5023,-11.4927,0.0071,0.0054,462.7078
04,12,13,07,59,40.836,4.5445,-11.6156,0.5023,-11.3744,-0.0097,-0.0198,462.7615
04,12,13,07,59,42.836,4.5511,-11.6935,0.4870,-11.5519,0.0000,0.0000,462.8063
04,12,13,07,59,44.836,4.5835,-11.7100,0.4727,-11.4291,-0.0097,-0.0298,461.9192
04,12,13,07,59,46.836,4.4418,-11.7446,0.5220,-11.6802,0.0248,0.0000,461.3277
04,12,13,07,59,48.836,4.7186,-12.0082,0.4629,-11.7788,0.0097,-0.0126,461.3277
04,12,13,07,59,50.836,4.6392,-12.0401,0.5139,-11.9169,0.0292,0.0099,461.3277
04,12,13,07,59,52.836,4.6700,-11.8539,0.4727,-11.6981,0.0097,0.0000,461.3277
04,12,13,07,59,54.836,4.7260,-11.7231,0.4727,-11.6309,0.0071,-0.0099,461.2292
04,12,13,07,59,56.836,4.6511,-11.8225,0.5121,-11.7098,0.0000,0.0054,460.5212
04,12,13,07,59,58.836,4.6602,-11.7742,0.4781,-11.6999,-0.0195,-0.0099,460.4406
04,12,13,08,00,00.836,4.6484,-11.8487,0.5121,-11.6533,-0.0097,0.0000,460.3420
04,12,13,08,00,02.836,4.6997,-11.8440,0.4924,-11.8084,-0.0195,-0.0298,460.3420
04,12,13,08,00,04.836,4.7102,-11.8521,0.5023,-11.7196,0.0000,-0.0216,460.6108
04,12,13,08,00,06.836,4.7159,-11.7074,0.5050,-11.6506,-0.0195,-0.0099,460.3420
04,12,13,08,00,08.836,4.6734,-11.6586,0.5417,-11.5188,-0.0097,0.0000,460.3420
04,12,13,08,00,10.836,4.7186,-11.6394,0.5318,-11.5421,-0.0106,-0.0099,460.3420
04,12,13,08,00,12.836,4.7102,-11.8225,0.5417,-11.6802,0.0195,-0.0307,460.3420
04,12,13,08,00,14.836,4.6997,-11.7701,0.5318,-11.6407,0.0195,-0.0198,460.3420
04,12,13,08,00,16.836,4.7839,-11.7204,0.5417,-11.5995,0.0000,-0.0397,460.3420
04,12,13,08,00,18.836,4.8537,-11.7519,0.5220,-11.7098,-0.0106,-0.0397,460.3420
04,12,13,08,00,22.836,4.8786,-11.6909,0.4530,-11.2659,-0.0097,0.0463,460.3420
04,12,13,08,00,24.836,4.8564,-11.6559,0.4844,-11.5618,0.0195,0.0000,460.3420
04,12,13,08,00,26.836,4.7943,-11.5792,0.4727,-11.4004,0.0000,0.0298,460.3420
04,12,13,08,00,28.836,4.8102,-11.6156,0.5121,-11.4632,-0.0009,-0.0108,460.3420
04,12,13,08,00,30.836,4.8132,-11.8931,0.4629,-11.7788,0.0000,0.0000,460.5212
04,12,13,08,00,32.836,4.7865,-11.7688,0.4933,-11.5914,0.0195,-0.0099,460.3420
04,12,13,08,00,34.836,4.7889,-11.5609,0.4727,-11.4183,0.0000,0.0000,460.3420
04,12,13,08,00,36.836,4.8470,-11.7688,0.4826,-11.6802,0.0257,-0.0289,460.3420
04,12,13,08,00,38.836,4.7051,-11.7022,0.4924,-11.6309,0.0000,-0.0198,460.3420
04,12,13,08,00,40.836,4.7076,-11.8762,0.4754,-11.7394,0.0097,-0.0099,460.3420
04,12,13,08,00,42.836,4.6781,-11.7338,0.4629,-11.5797,0.0000,0.0000,460.3420
04,12,13,08,00,44.836,4.5781,-11.5296,0.4924,-11.3744,-0.0009,0.0198,460.3420
04,12,13,08,00,46.836,4.6445,-11.5002,0.4629,-11.3349,0.0292,-0.0018,460.3420
04,12,13,08,00,48.836,4.7078,-11.6368,0.4844,-11.4138,0.0000,-0.0099,460.3420
04,12,13,08,00,50.836,4.7076,-11.6237,0.4629,-11.4811,0.0097,0.0099,460.3420
04,12,13,08,00,52.836,4.6862,-11.7048,0.4530,-11.5717,-0.0009,-0.0198,460.3420
04,12,13,08,00,54.836,4.7865,-11.8386,0.4727,-11.7394,-0.0097,-0.0198,460.3420
04,12,13,08,00,56.836,4.7429,-11.6028,0.4754,-11.4632,-0.0097,-0.0198,460.3420
04,12,13,08,00,58.836,4.6813,-11.5619,0.4924,-11.4901,0.0000,0.0099,460.3420
04,12,13,08,01,00.836,4.6132,-11.3492,0.4432,-11.2856,0.0080,-0.0099,460.3420
04,12,13,08,01,02.836,4.6295,-11.3713,0.4826,-11.1672,0.0000,-0.0018,460.3420
04,12,13,08,01,04.836,4.6155,-11.4330,0.4485,-11.1968,0.0389,0.0000,460.3420
04,12,13,08,01,06.836,4.7619,-11.4119,0.4629,-11.1672,0.0097,-0.0099,460.2434
04,12,13,08,01,08.836,4.7286,-11.3498,0.4826,-11.2264,0.0168,-0.0099,460.2434
04,12,13,08,01,10.836,4.7456,-11.3361,0.4629,-11.2363,0.0195,-0.0018,460.2524
04,12,13,08,01,12.836,4.7260,-11.3229,0.4665,-11.1376,0.0000,-0.0099,460.3420
04,12,13,08,01,14.836,4.7213,-11.3518,0.4826,-11.1941,0.0389,0.0198,460.2434
04,12,13,08,01,16.836,4.7076,-11.3417,0.4727,-11.2165,0.0080,-0.0198,459.6519
04,12,13,08,01,18.836,4.7024,-11.3858,0.4727,-11.3250,0.0389,-0.0289,459.3562
04,12,13,08,01,22.836,4.6862,-11.3780,0.4596,-11.2757,0.0779,0.0000,459.3562
04,12,13,08,01,24.836,4.6646,-11.3525,0.4727,-11.2461,-0.0195,0.0099,459.7505
04,12,13,08,01,26.836,4.6727,-11.3936,0.5023,-11.2264,0.0292,0.0000,459.6251
04,12,13,08,01,28.836,4.6997,-11.4867,0.4477,-11.3744,0.0292,0.0099,459.3562
04,12,13,08,01,30.836,4.6808,-11.4668,0.4924,-11.3744,-0.0195,0.0099,459.6519
04,12,13,08,01,32.836,4.6787,-11.6264,0.4727,-11.5519,-0.0195,0.0000,459.9477
04,12,13,08,01,34.836,4.7619,-11.5766,0.4629,-11.4730,0.0292,0.0180,459.8939
04,12,13,08,01,36.836,4.6971,-11.5941,0.4745,-11.4434,0.0292,0.0298,460.0463
04,12,13,08,01,38.836,4.6213,-11.6629,0.4826,-11.4641,0.0292,0.0099,460.2434
04,12,13,08,01,40.836,4.6471,-11.5619,0.4629,-11.4730,0.0248,0.0099,459.9477
04,12,13,08,01,42.836,4.6970,-11.6681,0.4432,-11.5618,0.0292,0.0180,459.9477
04,12,13,08,01,44.836,4.6646,-11.4733,0.4924,-11.4829,0.0195,0.0000,460.2524
04,12,13,08,01,46.836,4.6681,-11.4920,0.4826,-11.3026,0.0195,0.0000,460.3420
04,12,13,08,01,48.836,4.6403,-11.7388,0.4826,-11.6013,0.0336,0.0000,460.3420
04,12,13,08,01,50.836,4.6760,-11.7473,0.4727,-11.6309,0.0097,0.0000,460.3420
04,12,13,08,01,52.836,4.7402,-11.7833,0.5103,-11.5914,0.0097,0.0000,460.3420
04,12,13,08,01,54.836,4.7497,-11.7607,0.4432,-11.6165,0.0584,0.0099,460.3420
04,12,13,08,01,56.836,4.5322,-11.5295,0.4629,-11.3053,0.0425,0.0198,460.3420
04,12,13,08,01,58.836,4.6392,-11.6962,0.4727,-11.5322,0.0389,0.0271,460.3420
04,12,13,08,02,00.836,4.6754,-11.5635,0.4566,-11.4829,0.0292,0.0099,460.3420
04,12,13,08,02,02.836,4.6287,-11.6156,0.4826,-11.4910,0.0292,0.0099,460.3420
04,12,13,08,02,04.836,4.6646,-11.5636,0.4629,-11.4237,0.0336,0.0000,460.2434
04,12,13,08,02,06.836,4.6471,-11.6371,0.4727,-11.5223,0.0097,0.0000,460.3420
04,12,13,08,02,08.836,4.6376,-11.6989,0.4835,-11.5519,0.0097,0.0099,460.3420
04,12,13,08,02,10.836,4.6349,-11.6943,0.5023,-11.4371,0.0195,0.0198,460.3420
