APITime,NO,NO2,NOx
04/06/2013 15:48:11,0.4,3.7,4.1
04/06/2013 15:48:13,0.4,3.7,4.1
04/06/2013 15:48:14,0.4,3.7,4.0
04/06/2013 15:48:15,0.4,3.7,4.0
04/06/2013 15:48:17,0.4,3.7,4.0
04/06/2013 15:48:18,0.4,3.7,4.0
04/06/2013 15:48:19,0.4,3.7,4.0
04/06/2013 15:48:21,0.4,3.7,4.0
04/06/2013 15:48:22,0.4,3.7,4.0
04/06/2013 15:48:23,0.3,3.6,4.0
04/06/2013 15:48:25,0.3,3.6,4.0
04/06/2013 15:48:26,0.3,3.6,4.0
04/06/2013 15:48:27,0.3,3.6,4.0
04/06/2013 15:48:28,0.3,3.6,4.0
04/06/2013 15:48:30,0.3,3.6,4.0
04/06/2013 15:48:31,0.3,3.6,4.0
04/06/2013 15:48:33,0.3,3.7,4.0
04/06/2013 15:48:34,0.3,3.7,4.0
04/06/2013 15:48:35,0.3,3.7,4.0
04/06/2013 15:48:36,0.3,3.7,4.0
04/06/2013 15:48:38,0.3,3.7,4.0
04/06/2013 15:48:39,0.3,3.7,4.0
04/06/2013 15:48:40,0.3,3.7,3.9
04/06/2013 15:48:42,0.3,3.7,3.9
04/06/2013 15:48:43,0.3,3.7,3.9
04/06/2013 15:48:44,0.3,3.7,3.9
04/06/2013 15:48:46,0.3,3.7,3.9
04/06/2013 15:48:47,0.3,3.7,3.9
04/06/2013 15:48:49,0.2,3.7,3.9
04/06/2013 15:48:50,0.2,3.7,3.9
04/06/2013 15:48:51,0.2,3.7,3.9
04/06/2013 15:48:52,0.2,3.7,3.9
04/06/2013 15:48:54,0.2,3.7,3.9
04/06/2013 15:48:55,0.2,3.7,3.9
04/06/2013 15:48:57,0.2,3.7,3.9
04/06/2013 15:48:58,0.2,3.7,3.9
04/06/2013 15:48:59,0.2,3.7,3.9
04/06/2013 15:49:00,0.2,3.7,3.9
04/06/2013 15:49:02,0.2,3.6,3.9
04/06/2013 15:49:03,0.2,3.6,3.9
04/06/2013 15:49:05,0.2,3.6,3.9
04/06/2013 15:49:06,0.2,3.6,3.9
04/06/2013 15:49:07,0.2,3.6,3.9
04/06/2013 15:49:09,0.2,3.6,3.9
04/06/2013 15:49:10,0.2,3.6,3.9
04/06/2013 15:49:11,0.2,3.7,3.9
04/06/2013 15:49:13,0.2,3.7,3.9
04/06/2013 15:49:14,0.2,3.7,3.9
04/06/2013 15:49:15,0.2,3.7,3.9
04/06/2013 15:49:17,0.2,3.7,3.9
04/06/2013 15:49:18,0.2,3.7,3.9
04/06/2013 15:49:19,0.2,3.7,3.9
04/06/2013 15:49:20,0.2,3.7,3.9
04/06/2013 15:49:22,0.2,3.7,3.9
04/06/2013 15:49:23,0.2,3.7,3.9
04/06/2013 15:49:24,0.2,3.7,3.9
04/06/2013 15:49:26,0.2,3.7,3.9
04/06/2013 15:49:27,0.2,3.6,3.8
04/06/2013 15:49:28,0.2,3.6,3.8
04/06/2013 15:49:30,0.2,3.6,3.8
04/06/2013 15:49:31,0.2,3.6,3.8
04/06/2013 15:49:32,0.2,3.6,3.8
04/06/2013 15:49:34,0.2,3.6,3.8
04/06/2013 15:49:35,0.2,3.6,3.8
04/06/2013 15:49:36,0.2,3.5,3.7
04/06/2013 15:49:38,0.2,3.5,3.7
04/06/2013 15:49:39,0.2,3.5,3.7
04/06/2013 15:49:40,0.2,3.5,3.7
04/06/2013 15:49:42,0.2,3.5,3.7
04/06/2013 15:49:43,0.2,3.5,3.7
04/06/2013 15:49:44,0.2,3.5,3.7
04/06/2013 15:49:46,0.2,3.5,3.7
04/06/2013 15:49:47,0.2,3.5,3.7
04/06/2013 15:49:48,0.2,3.5,3.7
04/06/2013 15:49:50,0.2,3.5,3.7
04/06/2013 15:49:51,0.2,3.5,3.7
04/06/2013 15:49:52,0.2,3.5,3.7
04/06/2013 15:49:54,0.2,3.5,3.7
04/06/2013 15:49:55,0.2,3.5,3.7
04/06/2013 15:49:56,0.2,3.5,3.7
04/06/2013 15:49:58,0.2,3.5,3.7
04/06/2013 15:49:59,0.2,3.5,3.7
04/06/2013 15:50:00,0.2,3.5,3.7
04/06/2013 15:50:02,0.2,3.5,3.7
04/06/2013 15:50:03,0.2,3.5,3.7
04/06/2013 15:50:04,0.2,3.5,3.7
04/06/2013 15:50:06,0.2,3.4,3.6
04/06/2013 15:50:07,0.2,3.4,3.6
04/06/2013 15:50:09,0.2,3.4,3.6
04/06/2013 15:50:10,0.2,3.4,3.6
04/06/2013 15:50:11,0.2,3.4,3.6
04/06/2013 15:50:13,0.2,3.4,3.6
04/06/2013 15:50:14,0.2,3.4,3.6
04/06/2013 15:50:15,0.2,3.4,3.6
04/06/2013 15:50:17,0.2,3.4,3.6
04/06/2013 15:50:18,0.2,3.4,3.6
04/06/2013 15:50:19,0.2,3.4,3.6
04/06/2013 15:50:21,0.2,3.4,3.6
04/06/2013 15:50:22,0.2,3.4,3.6
04/06/2013 15:50:23,0.2,3.5,3.7
04/06/2013 15:50:25,0.2,3.5,3.7
04/06/2013 15:50:26,0.2,3.5,3.7
04/06/2013 15:50:27,0.2,3.5,3.7
04/06/2013 15:50:29,0.2,3.5,3.7
04/06/2013 15:50:30,0.2,3.5,3.7
04/06/2013 15:50:31,0.2,3.5,3.7
04/06/2013 15:50:33,0.2,3.5,3.6
04/06/2013 15:50:34,0.2,3.5,3.6
04/06/2013 15:50:35,0.2,3.5,3.6
04/06/2013 15:50:37,0.2,3.5,3.6
04/06/2013 15:50:38,0.2,3.5,3.6
04/06/2013 15:50:39,0.2,3.5,3.6
04/06/2013 15:50:41,0.2,3.4,3.6
04/06/2013 15:50:42,0.2,3.4,3.6
04/06/2013 15:50:43,0.2,3.4,3.6
04/06/2013 15:50:45,0.2,3.4,3.6
04/06/2013 15:50:46,0.2,3.4,3.6
04/06/2013 15:50:47,0.2,3.4,3.6
04/06/2013 15:50:49,0.2,3.4,3.6
04/06/2013 15:50:50,0.2,3.3,3.6
04/06/2013 15:50:52,0.2,3.3,3.6
04/06/2013 15:50:53,0.2,3.3,3.6
04/06/2013 15:50:54,0.2,3.3,3.6
04/06/2013 15:50:56,0.2,3.3,3.6
04/06/2013 15:50:57,0.2,3.3,3.6
04/06/2013 15:50:58,0.2,3.3,3.5
04/06/2013 15:51:00,0.2,3.3,3.5
04/06/2013 15:51:01,0.2,3.3,3.5
04/06/2013 15:51:02,0.2,3.3,3.5
04/06/2013 15:51:04,0.2,3.3,3.5
04/06/2013 15:51:05,0.2,3.3,3.5
04/06/2013 15:51:06,0.2,3.3,3.5
04/06/2013 15:51:08,0.2,3.3,3.5
04/06/2013 15:51:09,0.2,3.3,3.5
04/06/2013 15:51:10,0.2,3.3,3.5
04/06/2013 15:51:12,0.2,3.3,3.5
04/06/2013 15:51:13,0.2,3.3,3.5
04/06/2013 15:51:14,0.2,3.3,3.5
04/06/2013 15:51:16,0.2,3.3,3.5
04/06/2013 15:51:17,0.2,3.3,3.5
04/06/2013 15:51:18,0.2,3.3,3.5
04/06/2013 15:51:20,0.2,3.4,3.5
04/06/2013 15:51:21,0.2,3.4,3.5
04/06/2013 15:51:22,0.2,3.4,3.5
04/06/2013 15:51:24,0.2,3.4,3.5
04/06/2013 15:51:25,0.2,3.4,3.5
04/06/2013 15:51:26,0.2,3.4,3.5
04/06/2013 15:51:28,0.1,3.3,3.5
04/06/2013 15:51:29,0.1,3.3,3.5
04/06/2013 15:51:30,0.1,3.3,3.5
04/06/2013 15:51:32,0.1,3.3,3.5
04/06/2013 15:51:33,0.1,3.3,3.5
04/06/2013 15:51:34,0.1,3.3,3.5
04/06/2013 15:51:36,0.1,3.3,3.5
04/06/2013 15:51:37,0.2,3.3,3.5
04/06/2013 15:51:39,0.2,3.3,3.5
04/06/2013 15:51:40,0.2,3.3,3.5
04/06/2013 15:51:41,0.2,3.3,3.5
04/06/2013 15:51:43,0.2,3.3,3.5
04/06/2013 15:51:44,0.2,3.3,3.5
04/06/2013 15:51:45,0.1,3.3,3.5
04/06/2013 15:51:47,0.1,3.3,3.5
04/06/2013 15:51:48,0.1,3.3,3.5
04/06/2013 15:51:49,0.1,3.3,3.5
04/06/2013 15:51:51,0.1,3.3,3.5
04/06/2013 15:51:52,0.1,3.3,3.5
04/06/2013 15:51:53,0.1,3.3,3.5
04/06/2013 15:51:55,0.2,3.3,3.5
04/06/2013 15:51:56,0.2,3.3,3.5
04/06/2013 15:51:57,0.2,3.3,3.5
04/06/2013 15:51:59,0.2,3.3,3.5
04/06/2013 15:52:00,0.2,3.3,3.5
04/06/2013 15:52:01,0.2,3.3,3.5
04/06/2013 15:52:03,0.2,3.3,3.5
04/06/2013 15:52:04,0.2,3.3,3.5
04/06/2013 15:52:05,0.2,3.3,3.5
04/06/2013 15:52:07,0.2,3.3,3.5
04/06/2013 15:52:08,0.2,3.3,3.5
04/06/2013 15:52:09,0.2,3.3,3.5
04/06/2013 15:52:11,0.2,3.3,3.5
04/06/2013 15:52:12,0.2,3.3,3.5
04/06/2013 15:52:13,0.2,3.3,3.5
04/06/2013 15:52:14,0.2,3.3,3.5
04/06/2013 15:52:16,0.1,3.3,3.5
04/06/2013 15:52:17,0.1,3.3,3.5
04/06/2013 15:52:19,0.1,3.3,3.5
04/06/2013 15:52:20,0.1,3.3,3.5
04/06/2013 15:52:21,0.1,3.3,3.5
04/06/2013 15:52:23,0.1,3.3,3.5
04/06/2013 15:52:24,0.1,3.3,3.4
