MetOneTime,MetOne03,MetOne05,MetOne07,MetOne1,MetOne2,MetOne5
04/06/2013 15:48:26,409,95,46,33,19,2
04/06/2013 15:48:36,432,86,42,29,14,6
04/06/2013 15:48:46,500,99,46,36,19,4
04/06/2013 15:48:56,661,141,86,59,42,2
04/06/2013 15:49:06,786,161,110,80,52,14
04/06/2013 15:49:16,396,91,50,27,16,4
04/06/2013 15:49:26,548,99,57,42,25,8
04/06/2013 15:49:36,428,86,42,29,14,2
04/06/2013 15:49:46,512,125,59,40,16,6
04/06/2013 15:49:56,500,148,82,63,46,10
04/06/2013 15:50:06,572,139,84,69,42,4
04/06/2013 15:50:16,411,84,55,48,25,6
04/06/2013 15:50:26,722,137,69,55,33,12
04/06/2013 15:50:36,438,95,61,50,33,6
04/06/2013 15:50:46,392,91,48,36,23,2
04/06/2013 15:50:56,472,108,61,40,25,4
04/06/2013 15:51:06,453,110,67,52,33,8
04/06/2013 15:51:16,339,74,38,25,16,4
04/06/2013 15:51:26,442,91,48,31,23,2
04/06/2013 15:51:36,510,103,63,36,21,10
04/06/2013 15:51:46,351,50,27,19,8,2
04/06/2013 15:51:56,462,118,55,44,23,0
04/06/2013 15:52:06,362,80,44,33,16,0
04/06/2013 15:52:16,667,135,74,46,27,2
04/06/2013 15:52:26,591,156,101,86,44,4
04/06/2013 15:52:36,472,89,61,42,16,4
04/06/2013 15:52:46,470,93,55,44,23,4
04/06/2013 15:52:56,529,57,29,25,12,2
04/06/2013 15:53:06,561,137,63,38,27,6
04/06/2013 15:53:16,726,118,65,38,29,4
04/06/2013 15:53:26,875,163,91,61,38,4
04/06/2013 15:53:36,1195,228,108,74,55,10
04/06/2013 15:53:46,1055,214,108,65,29,10
04/06/2013 15:53:56,938,186,84,67,42,12
04/06/2013 15:54:06,847,165,65,46,23,8
04/06/2013 15:54:16,938,175,76,55,29,8
04/06/2013 15:54:26,1114,218,129,89,25,2
04/06/2013 15:54:36,1267,199,93,61,31,4
04/06/2013 15:54:46,1587,283,125,82,33,0
04/06/2013 15:54:56,1581,211,93,63,31,4
04/06/2013 15:55:06,1390,245,144,103,59,10
04/06/2013 15:55:16,1218,199,91,59,23,0
04/06/2013 15:55:26,1449,258,125,97,42,6
04/06/2013 15:55:36,1750,315,163,116,50,6
04/06/2013 15:55:46,1956,368,197,131,72,12
04/06/2013 15:55:56,1604,271,118,76,42,6
04/06/2013 15:56:06,1636,279,114,80,25,4
04/06/2013 15:56:16,2013,358,171,114,40,2
04/06/2013 15:56:26,2933,557,250,141,61,8
04/06/2013 15:56:36,3098,546,209,118,52,0
04/06/2013 15:56:46,3821,542,175,101,44,4
04/06/2013 15:56:56,8015,1057,226,91,25,0
04/06/2013 15:57:06,12036,1587,320,175,65,6
04/06/2013 15:57:16,13458,1729,303,146,55,2
04/06/2013 15:57:26,20214,2352,364,152,46,4
04/06/2013 15:57:36,26068,2789,434,165,48,4
04/06/2013 15:57:46,30877,3043,385,122,21,0
04/06/2013 15:57:56,53629,5319,661,190,46,4
04/06/2013 15:58:06,48979,4982,608,192,40,2
04/06/2013 15:58:16,41525,3865,555,180,50,2
04/06/2013 15:58:26,62087,5569,686,237,69,4
04/06/2013 15:58:36,67903,10408,3427,2017,811,65
04/06/2013 15:58:46,92155,16512,5739,3259,1286,57
04/06/2013 15:58:56,113985,22567,8475,4980,1985,146
04/06/2013 15:59:06,105539,27162,11872,7352,3200,220
04/06/2013 15:59:16,126373,35220,15759,9518,4067,243
04/06/2013 15:59:26,123054,36979,16936,10584,4586,283
04/06/2013 15:59:36,130654,41188,19231,12110,5383,362
04/06/2013 15:59:46,113345,35357,16664,10531,4425,267
04/06/2013 15:59:56,108347,32524,15253,9270,4062,218
04/06/2013 16:00:06,111602,35622,17118,10666,4520,233
04/06/2013 16:00:16,120078,40183,19547,12118,5145,366
04/06/2013 16:00:26,113525,36845,17747,11114,4738,262
04/06/2013 16:00:36,95610,30309,14257,8878,3757,211
04/06/2013 16:00:46,87333,27338,12998,7928,3253,180
04/06/2013 16:00:56,82533,24818,11940,7386,3217,146
04/06/2013 16:01:06,85201,26229,12544,7824,3304,211
04/06/2013 16:01:16,73155,21596,10317,6415,2863,156
04/06/2013 16:01:26,76808,22982,10965,6877,3043,188
04/06/2013 16:01:36,76679,23061,10789,6705,2835,152
04/06/2013 16:01:46,70308,20695,9808,6067,2522,116
04/06/2013 16:01:56,73648,22357,10560,6425,2740,158
04/06/2013 16:02:06,77239,23101,10931,6875,2960,188
04/06/2013 16:02:16,64249,19140,8912,5408,2310,103
04/06/2013 16:02:26,68473,19644,9304,5743,2416,156
