month,day,year,hour,min,sec,BlowerDoor,Outside,DuctBlaster,Outside1,Outside2,OutsideAvg,EGM
04,09,13,11,23,03.446,5.2580,-12.1098,0.3348,-12.0093,-0.0088,0.0496,462.3135
04,09,13,11,23,05.446,4.6700,-13.8259,0.3742,-13.8505,0.0097,0.0406,461.7220
04,09,13,11,23,07.446,5.1700,-14.4005,0.4235,-14.2845,0.0000,0.0397,461.4173
04,09,13,11,23,09.446,5.7916,-14.5590,0.3859,-14.6101,-0.0097,0.0298,461.3277
04,09,13,11,23,11.446,5.8700,-14.1212,0.3447,-13.9787,0.0000,0.0397,461.3277
04,09,13,11,23,13.446,5.7078,-13.1544,0.3447,-13.0909,0.0000,0.0406,461.3277
04,09,13,11,23,15.446,5.5673,-11.9621,0.3545,-11.8676,-0.0097,0.0397,461.3277
04,09,13,11,23,17.446,5.6943,-12.5959,0.3322,-12.5474,0.0000,0.0397,461.8206
04,09,13,11,23,19.446,5.6619,-13.1437,0.3447,-13.0909,0.0000,0.0397,461.7220
04,09,13,11,23,21.446,5.9943,-13.5680,0.3250,-13.4263,0.0000,0.0316,462.3135
04,09,13,11,23,23.446,6.1240,-12.1581,0.3644,-12.1241,0.0097,0.0496,462.4927
04,09,13,11,23,25.446,9.5539,-8.6511,0.1800,-8.5117,-0.0195,0.0397,463.2992
04,09,13,11,23,27.446,11.3269,-7.6710,0.1871,-7.5270,-0.0354,0.0099,463.2992
04,09,13,11,23,29.446,12.5675,-6.8708,0.1674,-6.6688,0.0000,0.0316,463.2992
04,09,13,11,23,31.446,31.6197,-2.4674,0.0197,-2.5254,-0.0097,0.0298,463.2992
04,09,13,11,23,33.446,53.9608,-0.3731,-0.0349,-0.0637,0.0000,0.0496,463.2992
04,09,13,11,23,35.446,59.2601,-0.8296,0.0000,-0.8780,0.0088,0.0496,463.2992
04,09,13,11,23,37.446,47.2701,-1.8042,0.1576,-1.7856,-0.0097,0.0406,463.2992
04,09,13,11,23,39.446,13.2704,-9.4970,0.4826,-9.4507,0.0000,0.0397,463.2992
04,09,13,11,23,41.446,8.5403,-9.4433,0.2784,-9.2561,0.0000,0.0496,463.2992
04,09,13,11,23,43.446,8.5105,-8.5732,0.1871,-8.3951,-0.0088,0.0298,463.2992
04,09,13,11,23,45.446,8.4861,-8.2188,0.1871,-8.1584,0.0000,0.0496,462.9049
04,09,13,11,23,47.446,8.4854,-8.0860,0.2561,-7.9512,-0.0097,0.0397,462.3135
04,09,13,11,23,49.446,8.1069,-7.3478,0.2158,-7.4176,-0.0292,0.0298,462.3135
04,09,13,11,23,51.446,7.8158,-8.7584,0.2364,-8.8292,-0.0265,0.0496,462.3135
04,09,13,11,23,53.446,7.9060,-8.7845,0.2364,-8.6812,-0.0195,0.0406,462.3135
04,09,13,11,23,55.446,7.5711,-8.6324,0.2955,-8.5036,0.0000,0.0496,462.5823
04,09,13,11,23,57.446,7.2676,-8.9376,0.2516,-8.7449,-0.0195,0.0397,462.5106
04,09,13,11,23,59.446,6.9097,-9.1067,0.2462,-9.0364,-0.0088,0.0595,463.0035
04,09,13,11,24,01.446,6.8583,-9.2960,0.2659,-9.2041,-0.0292,0.0406,463.2992
04,09,13,11,24,05.446,6.4900,-10.3600,0.2626,-9.7664,0.0000,0.0000,464.6135
04,09,13,11,24,07.446,6.6031,-10.6699,0.2758,-10.3977,0.0487,0.0000,464.5807
04,09,13,11,24,09.446,6.5819,-11.1553,0.2659,-11.0883,0.0389,0.0000,465.3693
04,09,13,11,24,11.446,6.6783,-11.3931,0.2507,-11.3053,0.0292,0.0000,467.9591
04,09,13,11,24,13.446,6.6431,-11.3753,0.2955,-11.2102,0.0389,-0.0099,469.6080
04,09,13,11,24,15.446,6.6846,-10.9071,0.2659,-10.7430,0.0398,-0.0099,470.1994
04,09,13,11,24,17.446,6.6331,-11.0176,0.2758,-10.8515,0.0195,0.0180,471.7766
04,09,13,11,24,19.446,6.5533,-11.1588,0.3223,-10.9206,0.0389,0.0000,472.3501
04,09,13,11,24,21.446,6.5390,-11.3292,0.2955,-11.1475,0.0389,0.0000,473.8466
04,09,13,11,24,23.446,6.4416,-11.2395,0.2758,-11.0488,0.0133,0.0000,475.1281
04,09,13,11,24,25.446,6.3230,-10.9666,0.2856,-10.7233,0.0292,0.0000,475.1281
04,09,13,11,24,27.446,6.3528,-10.7543,0.3044,-10.6838,0.0195,0.0099,475.1281
04,09,13,11,24,29.446,6.1836,-10.5468,0.2955,-10.4928,0.0195,-0.0198,475.5224
04,09,13,11,24,31.446,6.1926,-10.2682,0.2955,-10.0821,0.0487,0.0000,476.1139
04,09,13,11,24,33.446,6.1101,-10.2398,0.2758,-10.0426,0.0292,0.0090,476.1139
04,09,13,11,24,35.446,6.0255,-10.1109,0.2507,-9.9735,0.0487,0.0099,476.1139
04,09,13,11,24,37.446,6.1209,-10.0194,0.2856,-9.9816,0.0487,0.0000,476.1139
04,09,13,11,24,39.446,6.1204,-10.1470,0.2856,-9.9933,0.0398,0.0099,476.1139
04,09,13,11,24,41.446,5.9247,-10.3605,0.3151,-10.1906,0.0389,0.0180,475.3253
04,09,13,11,24,43.446,5.8890,-9.8850,0.2865,-9.6776,0.0195,0.0000,475.1281
04,09,13,11,24,45.446,5.8900,-9.7103,0.2955,-9.6229,0.0292,0.0000,475.2267
04,09,13,11,24,47.446,5.8526,-9.7096,0.2561,-9.5789,0.0487,0.0099,475.1281
04,09,13,11,24,49.446,5.8204,-9.7565,0.2758,-9.6677,0.0487,0.0000,475.1281
04,09,13,11,24,51.446,5.8354,-9.7927,0.2865,-9.6381,0.0389,0.0298,475.1281
04,09,13,11,24,53.446,5.9104,-9.7431,0.2856,-9.5870,0.0389,0.0099,475.0295
04,09,13,11,24,55.446,5.8610,-9.4795,0.2758,-9.3915,0.0398,0.0099,474.4381
04,09,13,11,24,57.446,5.2968,-8.6129,0.2659,-8.5234,0.0389,0.0000,474.1424
04,09,13,11,24,59.446,5.0426,-8.8246,0.2686,-8.5727,0.0487,0.0000,474.1424
04,09,13,11,25,01.446,5.3211,-9.2960,0.2659,-9.1476,0.0097,0.0000,474.1424
04,09,13,11,25,05.446,4.8330,-8.7484,0.2068,-8.5530,0.0487,-0.0099,474.1424
04,09,13,11,25,07.446,4.7687,-9.1729,0.2068,-9.0561,0.0389,-0.0099,473.2462
04,09,13,11,25,09.446,5.8426,-7.6885,0.2561,-7.6606,0.0292,0.0198,473.1566
04,09,13,11,25,11.446,6.9961,-6.6738,0.1576,-6.0078,0.0487,0.0198,472.7623
04,09,13,11,25,13.446,12.6619,-2.7725,0.0394,-2.6142,0.0389,0.0442,472.1709
04,09,13,11,25,15.446,16.1133,-3.3031,0.0098,-3.0582,0.0195,-0.0099,472.2695
04,09,13,11,25,17.446,17.9508,-3.8281,0.1083,-3.7146,0.0292,0.0000,472.9595
04,09,13,11,25,19.446,18.4794,-3.7856,0.1280,-3.7388,0.0487,0.0000,473.1566
04,09,13,11,25,21.446,18.7445,-3.6104,0.1083,-3.5119,0.0487,0.0171,473.1566
04,09,13,11,25,23.446,19.0735,-4.2566,0.1083,-4.0743,0.0000,-0.0099,473.5509
04,09,13,11,25,25.446,19.7296,-3.3989,0.0886,-3.3290,0.0487,0.0198,474.1424
04,09,13,11,25,27.446,20.3088,-3.1505,0.0886,-2.9792,0.0575,0.0000,474.4381
04,09,13,11,25,29.446,20.9851,-3.3312,0.0788,-3.1765,0.0584,0.0171,474.9489
04,09,13,11,25,31.446,21.6824,-3.2484,0.0994,-3.1272,0.0487,0.0099,475.3253
04,09,13,11,25,33.446,22.2237,-3.0254,0.1083,-3.0151,0.0292,0.0099,476.0153
04,09,13,11,25,35.446,22.7446,-3.3918,0.1083,-3.3344,0.0487,0.0099,476.1139
04,09,13,11,25,37.446,23.2379,-3.0370,0.0886,-2.9003,0.0292,-0.0009,476.2931
04,09,13,11,25,39.446,23.7412,-2.6524,0.0994,-2.4367,0.0487,0.0000,477.0010
04,09,13,11,25,41.446,24.4815,-2.4654,0.0788,-2.3604,0.0487,0.0198,477.0996
04,09,13,11,25,43.446,24.8165,-2.7285,0.0788,-2.6537,0.0487,0.0397,477.0996
04,09,13,11,25,45.446,25.5064,-2.4941,0.0886,-2.4860,0.0487,0.0261,477.0996
04,09,13,11,25,47.446,25.5921,-2.3345,0.0546,-2.2887,0.0389,0.0496,476.9025
04,09,13,11,25,49.446,26.4912,-2.1389,0.0689,-2.0376,0.0195,0.0198,476.7053
04,09,13,11,25,51.446,27.7760,-1.5533,0.0985,-1.4798,0.0487,0.0397,476.1139
04,09,13,11,25,53.446,28.5221,-0.8408,0.0591,-0.6906,0.0389,0.0532,475.5762
04,09,13,11,25,55.446,28.5077,-0.8656,0.0457,-0.8188,0.0487,0.0496,474.9310
04,09,13,11,25,57.446,28.1752,-0.4735,0.0197,-0.3067,0.0584,0.0496,473.8466
04,09,13,11,25,59.446,29.0513,0.6088,0.0886,0.8583,0.0575,0.0595,473.1566
04,09,13,11,26,01.446,29.3793,1.6953,0.0295,1.7165,0.0584,0.0622,472.6190
04,09,13,11,26,05.446,28.4042,0.4078,0.0328,-0.0954,0.0292,0.0298,471.6780
04,09,13,11,26,07.446,27.7506,-0.2376,0.0394,-0.2170,0.0380,0.0595,471.4809
04,09,13,11,26,09.446,27.1932,1.0734,0.0591,1.2627,0.0487,0.0343,471.2748
04,09,13,11,26,11.446,26.0795,0.7631,0.0179,0.9470,0.0292,0.0298,471.0866
04,09,13,11,26,13.446,25.7545,0.4416,0.0295,0.6879,0.0389,0.0595,470.8894
04,09,13,11,26,15.446,25.1313,0.9313,0.0394,1.2923,0.0292,0.0496,470.4951
04,09,13,11,26,17.446,25.8100,0.3022,0.0098,0.4834,0.0292,0.0343,470.1994
04,09,13,11,26,19.446,25.8430,-0.2516,0.0806,0.0296,0.0097,0.0397,470.1994
04,09,13,11,26,21.446,25.0027,-0.6178,0.0788,-0.5408,0.0292,0.0595,470.0023
04,09,13,11,26,23.446,25.4608,-0.3941,0.0886,-0.3453,0.0204,0.0496,470.0023
04,09,13,11,26,25.446,25.3170,-1.1175,0.1083,-0.9964,0.0195,0.0703,469.4825
04,09,13,11,26,27.446,24.8885,-0.4044,0.0895,-0.4341,0.0292,0.0793,469.2137
04,09,13,11,26,29.446,24.2544,-0.4008,0.0886,-0.3614,0.0292,0.0496,469.2137
04,09,13,11,26,31.446,24.7906,-0.2318,0.1182,-0.1480,0.0204,0.0523,469.2137
04,09,13,11,26,33.446,25.0124,0.4013,0.1576,0.6116,0.0292,0.0694,469.2137
04,09,13,11,26,35.446,24.3170,-0.1169,0.1164,-0.0592,0.0292,0.0793,469.2137
04,09,13,11,26,37.446,24.8027,0.0358,0.1182,0.0511,0.0292,0.0694,469.2137
04,09,13,11,26,39.446,25.2885,-0.6315,0.0985,-0.5623,0.0027,0.0793,469.4108
04,09,13,11,26,41.446,25.0968,-0.3521,0.0886,-0.2565,0.0292,0.0793,470.0202
04,09,13,11,26,43.446,25.0715,-0.4070,0.1791,-0.3551,0.0292,0.0595,470.1994
04,09,13,11,26,45.446,24.9134,-0.2569,0.0886,-0.1462,0.0195,0.0595,470.3965
04,09,13,11,26,47.446,24.2831,-0.1150,0.0788,-0.2368,0.0292,0.0703,471.0866
04,09,13,11,26,49.446,22.7554,2.4206,0.0295,2.6833,0.0389,0.0694,471.1852
04,09,13,11,26,51.446,22.3534,0.4335,0.0000,0.5820,0.0487,0.0694,471.1852
04,09,13,11,26,53.446,22.3400,-1.4299,0.0591,-1.3390,0.0292,0.0496,471.1852
04,09,13,11,26,55.446,22.4696,-1.4866,0.0886,-1.4107,0.0204,0.0703,471.1852
04,09,13,11,26,57.446,22.4411,-0.9437,0.1182,-0.8681,0.0195,0.0595,471.1852
04,09,13,11,26,59.446,23.0849,0.6114,0.2238,0.9076,0.0389,0.0694,471.2837
04,09,13,11,27,01.446,24.4117,0.3726,0.1576,0.4637,0.0195,0.0694,471.4809
04,09,13,11,27,05.446,24.0169,-3.1292,0.0985,-2.3084,0.0000,0.0198,471.1852
04,09,13,11,27,07.446,24.6206,-2.1677,0.1791,-2.2196,0.0097,-0.0099,471.1852
04,09,13,11,27,09.446,24.4684,-3.1665,0.1379,-3.2590,0.0000,0.0198,471.1852
04,09,13,11,27,11.446,25.4743,-3.8317,0.1182,-3.8276,-0.0088,0.0018,471.1852
04,09,13,11,27,13.446,27.1523,-2.0023,0.0591,-1.9237,0.0000,0.0099,471.1852
04,09,13,11,27,15.446,27.7667,-2.1132,0.0358,-2.0914,-0.0097,0.0099,471.1852
04,09,13,11,27,17.446,28.7899,-2.1074,0.0689,-2.1829,-0.0097,-0.0099,471.1852
04,09,13,11,27,19.446,29.3333,-2.1823,0.0591,-2.0914,-0.0088,-0.0072,471.0866
04,09,13,11,27,21.446,29.7757,-1.8484,0.0197,-1.6672,0.0097,0.0099,471.0956
04,09,13,11,27,23.446,29.4710,-1.2324,-0.0090,-1.1641,0.0000,0.0099,471.1852
04,09,13,11,27,25.446,30.1278,0.3085,0.0197,0.3282,0.0000,-0.0099,470.5937
04,09,13,11,27,27.446,30.7673,-0.6577,-0.0295,-0.4834,-0.0088,-0.0072,470.7909
04,09,13,11,27,29.446,30.5982,-0.9968,-0.0689,-0.9569,0.0000,0.0099,470.4683
04,09,13,11,27,31.446,31.4447,-0.6457,0.0269,-0.5130,0.0000,-0.0099,470.7909
04,09,13,11,27,33.446,31.2087,-1.3690,0.0492,-1.2591,0.0097,-0.0198,471.1852
04,09,13,11,27,35.446,31.3149,-1.0991,0.0197,-1.0457,0.0000,0.0018,471.0866
04,09,13,11,27,37.446,32.1710,-1.1722,0.0295,-1.1049,-0.0195,0.0000,471.0059
04,09,13,11,27,39.446,31.6721,0.3802,0.0179,0.1578,-0.0097,0.0000,471.1852
04,09,13,11,27,41.446,31.0838,1.9442,0.0000,1.9246,-0.0088,0.0198,470.4951
04,09,13,11,27,43.446,31.4744,1.6277,0.0394,1.6869,0.0000,0.0018,470.1994
04,09,13,11,27,45.446,30.3799,0.2895,0.0197,0.3847,0.0097,0.0198,470.1994
04,09,13,11,27,47.446,29.9802,-0.7775,0.0090,-0.5524,-0.0097,0.0099,470.1994
04,09,13,11,27,49.446,30.4359,-1.4455,0.0591,-1.4206,0.0088,0.0099,470.1994
04,09,13,11,27,51.446,30.7088,-2.0897,0.1083,-1.9138,-0.0195,0.0108,470.2980
04,09,13,11,27,53.446,30.5458,-1.6639,0.0492,-1.5784,-0.0195,0.0000,470.2890
04,09,13,11,27,55.446,30.9377,-1.1788,-0.0269,-1.2825,0.0097,0.0099,470.9880
04,09,13,11,27,57.446,30.8812,-0.7020,0.0197,-0.4789,-0.0088,-0.0099,471.3823
04,09,13,11,27,59.446,31.0090,-0.5996,0.0394,-0.5820,0.0097,0.0198,471.1852
04,09,13,11,28,01.446,30.6623,0.5510,0.0394,0.6116,0.0000,0.0000,471.1852
04,09,13,11,28,05.446,32.2455,2.0336,0.1083,2.5715,0.0389,0.0397,471.6780
04,09,13,11,28,07.446,31.0984,1.8163,0.0394,1.9829,0.0389,0.0298,471.2837
04,09,13,11,28,09.446,30.1225,0.8708,0.0591,0.9273,0.0389,0.0307,471.3823
04,09,13,11,28,11.446,29.1572,-0.4666,0.0492,-0.3847,0.0292,0.0397,471.2748
04,09,13,11,28,13.446,28.7074,0.5353,0.0636,0.4520,0.0487,0.0198,471.3823
04,09,13,11,28,15.446,28.3598,0.7003,0.0000,0.7201,0.0389,0.0298,471.3823
04,09,13,11,28,17.446,27.9292,0.5012,-0.0197,0.5524,0.0389,0.0397,471.5794
04,09,13,11,28,19.446,27.2233,0.6421,-0.0098,0.7399,0.0292,0.0298,471.1852
04,09,13,11,28,21.446,27.5246,0.6936,0.0457,0.8107,0.0389,0.0397,471.1852
04,09,13,11,28,23.446,27.3219,0.0104,0.1182,0.2762,0.0212,0.0298,471.1852
04,09,13,11,28,25.446,27.1432,-0.2660,0.0886,-0.1381,0.0487,0.0307,471.1852
04,09,13,11,28,27.446,26.8403,0.6143,0.0492,0.8188,0.0584,0.0298,471.1852
04,09,13,11,28,29.446,27.3524,0.8167,0.0546,0.9273,0.0487,0.0397,471.1852
04,09,13,11,28,31.446,26.9202,0.1660,0.1083,0.2368,0.0389,0.0298,471.1852
04,09,13,11,28,33.446,26.4712,0.3981,0.1182,0.5031,0.0487,0.0397,471.1852
04,09,13,11,28,35.446,25.9637,0.1141,0.0886,0.1184,0.0389,0.0397,471.1852
