Instr,Time,mg/m3
DustTrak,2013-07-13 10:28:40,0.000
DustTrak,2013-07-13 10:28:45,0.000
DustTrak,2013-07-13 10:28:50,0.000
DustTrak,2013-07-13 10:28:55,0.000
DustTrak,2013-07-13 10:29:00,0.000
DustTrak,2013-07-13 10:29:05,0.000
DustTrak,2013-07-13 10:29:10,0.000
DustTrak,2013-07-13 10:29:15,0.000
DustTrak,2013-07-13 10:29:20,0.000
DustTrak,2013-07-13 10:29:25,0.000
DustTrak,2013-07-13 10:29:30,0.000
DustTrak,2013-07-13 10:29:35,0.000
DustTrak,2013-07-13 10:29:40,0.000
DustTrak,2013-07-13 10:29:45,0.000
DustTrak,2013-07-13 10:29:50,0.000
