Instr,Time,MetOne03,MetOne05,MetOne07,MetOne1,MetOne2,MetOne5
MetOne, 2013-07-13 17:18:59, 3590, 639, 362, 257, 140, 32
MetOne, 2013-07-13 17:19:59, 33339, 20974, 18033, 15516, 11586, 3469
MetOne, 2013-07-13 17:20:59, 6645, 1794, 1381, 1113, 756, 180
MetOne, 2013-07-13 17:21:59, 3958, 705, 440, 321, 203, 41
MetOne, 2013-07-13 17:22:59, 3397, 460, 223, 131, 73, 7
MetOne, 2013-07-13 17:23:59, 3283, 437, 214, 133, 66, 6
MetOne, 2013-07-13 17:24:59, 3237, 396, 176, 108, 51, 7
MetOne, 2013-07-13 17:25:59, 3474, 513, 258, 169, 94, 16
MetOne, 2013-07-13 17:26:59, 4978, 1311, 840, 589, 331, 56
MetOne, 2013-07-13 17:27:59, 5894, 1484, 1104, 889, 605, 159
MetOne, 2013-07-13 17:28:59, 3898, 537, 300, 220, 127, 36
MetOne, 2013-07-13 17:29:59, 3237, 368, 146, 86, 39, 7
MetOne, 2013-07-13 17:30:59, 3550, 424, 212, 144, 90, 25
MetOne, 2013-07-13 17:31:59, 3384, 373, 158, 97, 53, 15
MetOne, 2013-07-13 17:32:59, 3572, 464, 220, 150, 93, 22
MetOne, 2013-07-13 17:33:59, 3472, 417, 194, 133, 68, 11
MetOne, 2013-07-13 17:34:59, 3312, 364, 156, 104, 54, 9
MetOne, 2013-07-13 17:35:59, 3344, 357, 146, 82, 38, 4
MetOne, 2013-07-13 17:36:59, 3291, 352, 150, 87, 46, 9
MetOne, 2013-07-13 17:37:59, 3150, 384, 191, 131, 75, 19
MetOne, 2013-07-13 17:38:59, 7780, 2267, 1713, 1381, 946, 281
MetOne, 2013-07-13 17:39:59, 3570, 604, 379, 288, 193, 57
MetOne, 2013-07-13 17:40:59, 5024, 991, 689, 548, 397, 147
MetOne, 2013-07-13 17:41:59, 4717, 913, 611, 467, 313, 84
MetOne, 2013-07-13 17:42:59, 4443, 764, 511, 405, 279, 80
MetOne, 2013-07-13 17:43:59, 3966, 622, 372, 278, 190, 58
MetOne, 2013-07-13 17:44:59, 3376, 434, 207, 134, 76, 16
MetOne, 2013-07-13 17:45:59, 3031, 327, 140, 77, 38, 7
MetOne, 2013-07-13 17:46:59, 3160, 371, 144, 78, 34, 5
MetOne, 2013-07-13 17:47:59, 3316, 402, 188, 118, 64, 11
MetOne, 2013-07-13 17:48:59, 3226, 414, 202, 134, 84, 20
