Instr,Time,MetOne03,MetOne05,MetOne07,MetOne1,MetOne2,MetOne5
MetOne, 2013-07-11 22:23:30,5785,1454,837,596,346,36
MetOne, 2013-07-11 22:24:30,5983,1571,904,654,377,46
MetOne, 2013-07-11 22:25:30,6093,1573,933,660,383,47
MetOne, 2013-07-11 22:26:30,6175,1630,972,712,425,46
MetOne, 2013-07-11 22:27:30,7245,2148,1386,1043,629,63
MetOne, 2013-07-11 22:28:30,7534,2288,1501,1152,721,81
MetOne, 2013-07-11 22:29:30,6780,1995,1274,967,563,68
MetOne, 2013-07-11 22:30:30,6621,2051,1326,991,585,66
MetOne, 2013-07-11 22:31:30,7051,2154,1384,1044,630,70
MetOne, 2013-07-11 22:32:30,6853,2176,1452,1091,651,79
MetOne, 2013-07-11 22:33:30,7767,2621,1769,1354,810,75
MetOne, 2013-07-11 22:34:30,122039,40428,14883,6884,1902,149
MetOne, 2013-07-11 22:35:30,266422,69558,27426,15192,5918,448
MetOne, 2013-07-11 22:36:30,261304,37294,12603,6662,2461,185
MetOne, 2013-07-11 22:37:30,304124,55587,19179,9906,3365,158
MetOne, 2013-07-11 22:38:30,231254,31904,11105,5797,2058,98
MetOne, 2013-07-11 22:39:30,178317,21849,7719,4075,1484,76
MetOne, 2013-07-11 22:40:30,149633,16987,6037,3220,1193,52
MetOne, 2013-07-11 22:41:30,138073,15403,5512,2992,1161,68
MetOne, 2013-07-11 22:42:30,111632,12693,4936,2867,1205,94
MetOne, 2013-07-11 22:43:30,126732,14654,5684,3270,1434,120
MetOne, 2013-07-11 22:44:30,101765,11585,4524,2637,1139,97
MetOne, 2013-07-11 22:45:30,85006,9638,3771,2113,849,58
MetOne, 2013-07-11 22:46:30,84671,9570,3650,2033,817,50
MetOne, 2013-07-11 22:47:30,85945,9716,3851,2198,927,74
MetOne, 2013-07-11 22:48:30,183556,93001,51901,32673,12358,228
MetOne, 2013-07-11 22:49:30,135673,49015,25379,15338,5871,169
