Instr,Time,mg/m3
DustTrak,2013-07-11 22:53:25,0.061
DustTrak,2013-07-11 22:53:30,0.061
DustTrak,2013-07-11 22:53:35,0.061
DustTrak,2013-07-11 22:53:40,0.061
DustTrak,2013-07-11 22:53:45,0.061
DustTrak,2013-07-11 22:53:50,0.061
DustTrak,2013-07-11 22:53:55,0.061
DustTrak,2013-07-11 22:54:00,0.061
DustTrak,2013-07-11 22:54:05,0.061
DustTrak,2013-07-11 22:54:10,0.061
DustTrak,2013-07-11 22:54:15,0.061
DustTrak,2013-07-11 22:54:20,0.061
DustTrak,2013-07-11 22:54:25,0.061
DustTrak,2013-07-11 22:54:30,0.061
DustTrak,2013-07-11 22:54:35,0.061
DustTrak,2013-07-11 22:54:40,0.061
DustTrak,2013-07-11 22:54:45,0.061
DustTrak,2013-07-11 22:54:50,0.061
DustTrak,2013-07-11 22:54:55,0.061
DustTrak,2013-07-11 22:55:00,0.061
DustTrak,2013-07-11 22:55:05,0.061
DustTrak,2013-07-11 22:55:10,0.061
DustTrak,2013-07-11 22:55:15,0.056
DustTrak,2013-07-11 22:55:20,0.056
DustTrak,2013-07-11 22:55:25,0.056
DustTrak,2013-07-11 22:55:30,0.056
DustTrak,2013-07-11 22:55:35,0.056
DustTrak,2013-07-11 22:55:40,0.056
DustTrak,2013-07-11 22:55:45,0.056
DustTrak,2013-07-11 22:55:50,0.056
DustTrak,2013-07-11 22:55:55,0.056
DustTrak,2013-07-11 22:56:00,0.056
DustTrak,2013-07-11 22:56:05,0.056
