Instr,Time,mg/m3
DustTrak,2013-07-11 22:06:05,0.003,
DustTrak,2013-07-11 22:06:10,0.003,
DustTrak,2013-07-11 22:06:15,0.003,
DustTrak,2013-07-11 22:06:20,0.003,
Instr,Time,mg/m3
DustTrak,2013-07-11 22:06:55,0.003,
DustTrak,2013-07-11 22:07:00,0.003,
DustTrak,2013-07-11 22:07:05,0.003,
DustTrak,2013-07-11 22:07:10,0.003,
DustTrak,2013-07-11 22:07:15,0.003,
DustTrak,2013-07-11 22:07:20,0.003,
DustTrak,2013-07-11 22:07:25,0.003,
DustTrak,2013-07-11 22:07:30,0.003,
DustTrak,2013-07-11 22:07:35,0.003,
DustTrak,2013-07-11 22:07:40,0.003,
DustTrak,2013-07-11 22:07:45,0.003,
DustTrak,2013-07-11 22:07:50,0.003,
DustTrak,2013-07-11 22:07:55,0.003,
DustTrak,2013-07-11 22:08:00,0.003,
DustTrak,2013-07-11 22:08:05,0.003,
DustTrak,2013-07-11 22:08:10,0.003,
DustTrak,2013-07-11 22:08:15,0.003,
DustTrak,2013-07-11 22:08:20,0.003,
