		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
07/10/13	10:48 p	---	---	---	62	---	0.0	---	0.00	0.0	---	---	---	---	759.6	0.00	0.0	---	---	23.8	58	15.0	24.2	10.56	1.1688	0	1	0.0	1
07/10/13	10:49 p	22.3	22.3	22.3	61	14.4	1.3	NW	0.08	6.3	NW	22.3	22.4	22.4	759.6	0.00	0.0	0.000	0.003	23.8	57	14.7	24.1	10.36	1.1691	24	1	100.0	1
07/10/13	10:50 p	22.4	22.4	22.3	61	14.5	0.0	---	0.00	6.3	NW	22.4	22.4	22.4	759.6	0.00	0.0	0.000	0.003	23.7	57	14.7	24.1	10.36	1.1693	22	1	95.7	1
07/10/13	10:51 p	22.4	22.4	22.4	61	14.5	0.0	---	0.00	0.0	---	22.4	22.6	22.6	759.6	0.00	0.0	0.000	0.003	23.7	58	14.9	24.0	10.57	1.1693	24	1	100.0	1
07/10/13	10:52 p	22.5	22.5	22.4	60	14.3	0.0	---	0.00	0.0	---	22.5	22.6	22.6	759.6	0.00	0.0	0.000	0.003	23.6	58	14.9	23.9	10.57	1.1696	23	1	100.0	1
07/10/13	10:53 p	22.5	22.5	22.5	60	14.3	0.0	---	0.00	0.0	---	22.5	22.6	22.6	759.6	0.00	0.0	0.000	0.003	23.6	58	14.9	23.9	10.57	1.1696	23	1	100.0	1
07/10/13	10:54 p	22.6	22.6	22.5	60	14.4	0.0	---	0.00	0.0	---	22.6	22.7	22.7	759.6	0.00	0.0	0.000	0.003	23.6	57	14.6	23.9	10.37	1.1700	24	1	100.0	1
07/10/13	10:55 p	22.6	22.6	22.6	60	14.4	2.2	NW	0.13	6.7	NW	22.6	22.7	22.7	759.6	0.00	0.0	0.000	0.003	23.6	57	14.6	23.9	10.37	1.1699	23	1	100.0	1
07/10/13	10:56 p	22.6	22.6	22.6	60	14.5	0.4	NW	0.03	6.7	NW	22.6	22.7	22.7	759.6	0.00	0.0	0.000	0.003	23.6	57	14.5	23.8	10.37	1.1702	24	1	100.0	1
07/10/13	10:57 p	22.6	22.6	22.6	60	14.5	0.0	---	0.00	0.0	---	22.6	22.7	22.7	759.6	0.00	0.0	0.000	0.003	23.6	57	14.5	23.8	10.37	1.1702	23	1	100.0	1
07/10/13	10:58 p	22.6	22.6	22.6	60	14.5	0.0	---	0.00	0.0	---	22.6	22.7	22.7	759.6	0.00	0.0	0.000	0.003	23.6	57	14.5	23.8	10.37	1.1702	24	1	100.0	1
07/10/13	10:59 p	22.6	22.7	22.6	59	14.2	0.0	---	0.00	0.0	---	22.6	22.7	22.7	759.6	0.00	0.0	0.000	0.003	23.5	57	14.5	23.8	10.38	1.1705	23	1	100.0	1
07/10/13	11:01 p	---	---	---	59	---	0.0	---	0.00	0.0	---	---	---	---	759.6	0.00	0.0	---	---	23.6	57	14.5	23.8	10.37	1.1702	3	1	13.0	1
07/10/13	11:02 p	22.7	22.7	22.7	59	14.2	0.0	---	0.00	0.0	---	22.7	22.8	22.8	759.6	0.00	0.0	0.000	0.003	23.6	57	14.5	23.8	10.37	1.1702	23	1	100.0	1
07/10/13	11:03 p	22.7	22.7	22.7	59	14.2	0.0	---	0.00	0.0	---	22.7	22.8	22.8	759.6	0.00	0.0	0.000	0.003	23.6	57	14.5	23.8	10.37	1.1702	23	1	100.0	1
07/10/13	11:04 p	22.6	22.7	22.6	59	14.2	0.0	---	0.00	0.0	---	22.6	22.7	22.7	759.6	0.00	0.0	0.000	0.003	23.5	57	14.5	23.8	10.38	1.1705	23	1	100.0	1
07/10/13	11:05 p	22.6	22.7	22.6	59	14.2	0.0	---	0.00	0.0	---	22.6	22.7	22.7	759.6	0.00	0.0	0.000	0.003	23.5	57	14.5	23.8	10.38	1.1705	23	1	100.0	1
07/10/13	11:06 p	22.6	22.6	22.6	59	14.2	0.0	---	0.00	0.0	---	22.6	22.7	22.7	759.6	0.00	0.0	0.000	0.003	23.5	57	14.5	23.8	10.38	1.1705	24	1	100.0	1
07/10/13	11:07 p	22.6	22.6	22.6	59	14.2	0.0	---	0.00	0.0	---	22.6	22.7	22.7	759.6	0.00	0.0	0.000	0.003	23.4	57	14.4	23.7	10.38	1.1708	23	1	100.0	1
07/10/13	11:08 p	22.6	22.6	22.6	59	14.2	0.0	---	0.00	0.0	---	22.6	22.7	22.7	759.6	0.00	0.0	0.000	0.003	23.4	57	14.4	23.7	10.38	1.1708	24	1	100.0	1
07/10/13	11:09 p	22.6	22.6	22.6	59	14.2	0.4	NW	0.03	3.6	NW	22.6	22.7	22.7	759.6	0.00	0.0	0.000	0.003	23.5	57	14.5	23.8	10.38	1.1705	23	1	100.0	1
07/10/13	11:10 p	22.6	22.6	22.6	63	15.2	2.7	NE	0.16	4.5	ESE	22.6	22.8	22.8	759.6	0.00	0.0	0.000	0.003	23.4	57	14.4	23.7	10.38	1.1708	23	1	100.0	1
